@relation autos_200_RQP_test_data
@attribute x0_lower real
@attribute x0_upper real
@attribute x1_lower real
@attribute x1_upper real
@attribute x2_lower real
@attribute x2_upper real
@attribute x3_lower real
@attribute x3_upper real
@attribute x4_lower real
@attribute x4_upper real
@attribute x5_lower real
@attribute x5_upper real
@attribute x6_lower real
@attribute x6_upper real
@attribute x7_lower real
@attribute x7_upper real
@attribute y_min real
@attribute y_max real
@data
0.0024126685398642156,0.7202855365647672,0.8584332782927128,0.9839433132172367,0.1886138080746922,0.6106390891016257,0.09837198977728567,0.9290705302482091,0,0,0,0,1,1,1,1,0.2587831612824185,0.7463801892711417
0.010104083528547081,0.3158751713872805,0.10512087632328426,0.18649067053413437,0.15583313869932214,0.6679593119483647,0.3896745593577333,0.9979589609817194,1,1,0,0,1,1,0,0,0.3558982134511204,0.8629973906314667
0.014952202729163866,0.3205842559288006,0.028304103994900576,0.15220955384146084,0.8791975400975927,0.9621387724901093,0.25472591420615265,0.39280364352971064,0,0,0,0,1,1,0,0,0.9598744713281595,1.0977596686249167
0.7703498422881494,0.8533694942582075,0.7416068625994543,0.9845652347772963,0.08260012059996658,0.7985399497348867,0.47639948246250774,0.8142946538543802,0,0,1,1,0,0,1,1,-0.08368424039937916,0.29554337530705366
0.3154109972169571,0.7579847715824279,0.3017527460278482,0.9399557814658956,0.6694279009324636,0.6994263143203818,0.680728913649475,0.757459443875554,1,1,0,0,0,0,0,0,0.6819628958326245,0.9349731467376601
0.6491227920711328,0.8062244115728384,0.8934515340486149,0.9600875882466412,0.20508043410691568,0.8920205820091509,0.033549448260430936,0.33090003718823047,1,1,0,0,1,1,1,1,0.35002547156204034,0.8004529607667072
0.13703799523489302,0.6202263772680171,0.1176773590237653,0.847385561521559,0.3017627978954134,0.435723859520482,0.47316124672239046,0.9782058694996739,0,0,0,0,1,1,0,0,0.5305940175111599,0.9072115981330766
0.19110916625001517,0.9436856552274876,0.47056189301255136,0.5478099624821987,0.3704419026944733,0.3832153670976888,0.028659436402628136,0.8566876732502313,0,0,0,0,0,0,1,1,0.6890959882085028,0.7997051278545764
0.26909889558837174,0.5336071716605163,0.27030480149272207,0.5094327956169906,0.5582071445171015,0.8355282602333378,0.004903672834026818,0.76215833509087,0,0,0,0,1,1,0,0,0.7390250503000821,1.006022658210552
0.092375059816875,0.7181113075343457,0.0831467021679182,0.4269531624931142,0.20259964101623196,0.8675395605436788,0.08820735830247495,0.7570741381320181,0,0,1,1,0,0,1,1,0.03585349075769273,0.5746918574796305
0.08611618100980134,0.2159740543356774,0.3525208566787591,0.4937374579808965,0.8705125593127833,0.8928483566213562,0.023884201583210918,0.04222887783061413,0,0,1,1,0,0,1,1,0.43900151796603804,0.5072834169035219
0.2905154259279842,0.8683291243195594,0.36966154738229084,0.7731021168048788,0.4587221542333835,0.6463055278977949,0.8163216813816261,0.88126593111633,1,1,1,1,1,1,1,1,-0.07379682150862504,0.013747221572669388
0.4291062422406492,0.6743090286380635,0.16017555555896645,0.7121882467217563,0.27439218470867077,0.7546122791850997,0.3206793035717673,0.9922245427005333,1,1,1,1,0,0,0,0,0.28933163384829097,0.5921106632855893
0.6944658590015439,0.8171477842488941,0.39251198666078113,0.6006318284353785,0.475740171939696,0.8568138180707815,0.32304293290864927,0.8836598845262742,1,1,1,1,0,0,0,0,0.42058628635797635,0.6237364841704767
0.7212450067898325,0.8737311597520203,0.5346145082782832,0.849202129018293,0.5549020580730389,0.8503333056436332,0.11624257640224023,0.3854673435419187,1,1,1,1,0,0,0,0,0.46547654512178327,0.6264983659170198
0.8521972553011717,0.8986442724554474,0.1877188986116335,0.9569188193162872,0.00871149388446213,0.46691205100742483,0.27416028009973625,0.647053570260544,0,0,1,1,1,1,1,1,-0.14442125928597088,0.01899065716552445
0.233429656735608,0.5806976811118206,0.003917428749678931,0.5155915945146594,0.14772480472486726,0.2561691309429379,0.7122104165345366,0.9779082545383974,1,1,1,1,1,1,1,1,-0.13955465862217414,-0.06649088234238532
