@relation autos_200_RQP_training_data
@attribute x0 real
@attribute x1 real
@attribute x2 real
@attribute x3 real
@attribute x4 real
@attribute x5 real
@attribute x6 real
@attribute x7 real
@attribute y real
@data
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6749631901496096
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5602097935312623
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6062099591778715
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7542826947331462
0.0,0.0,0.0,0.18181818181818182,1.0,0.0,0.0,0.0,0.6734125261469686
0.0,0.0,0.0,0.18181818181818182,0.0,1.0,0.0,0.0,0.5685255461558586
0.0,0.0,0.0,0.18181818181818182,0.0,0.0,1.0,0.0,0.6158759470433961
0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,1.0,0.7559662968112957
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6059464329665404
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6587808321597962
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7635425061629678
0.0,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.0,0.6726371941456482
0.0,0.0,0.0,0.2727272727272727,0.0,1.0,0.0,0.0,0.5726834224681565
0.0,0.0,0.0,0.2727272727272727,0.0,0.0,1.0,0.0,0.620708940976158
0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,1.0,0.75680809785037
0.0,0.0,0.0,0.36363636363636365,1.0,0.0,0.0,0.0,0.6718618621443275
0.0,0.0,0.0,0.36363636363636365,0.0,1.0,0.0,0.0,0.5768412987804543
0.0,0.0,0.0,0.36363636363636365,0.0,0.0,1.0,0.0,0.6255419349089201
0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,1.0,0.7576498988894449
0.0,0.0,0.0,0.45454545454545453,1.0,0.0,0.0,0.0,0.6710865301430069
0.0,0.0,0.0,0.45454545454545453,0.0,1.0,0.0,0.0,0.5809991750927523
0.0,0.0,0.0,0.45454545454545453,0.0,0.0,1.0,0.0,0.6303749288416824
0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,1.0,0.7584916999285196
0.0,0.0,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.6703111981416865
0.0,0.0,0.0,0.5454545454545454,0.0,1.0,0.0,0.0,0.5851570514050504
0.0,0.0,0.0,0.5454545454545454,0.0,0.0,1.0,0.0,0.6352079227744444
0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,1.0,0.7593335009675941
0.0,0.0,0.0,0.6363636363636364,1.0,0.0,0.0,0.0,0.6695358661403658
0.0,0.0,0.0,0.6363636363636364,0.0,1.0,0.0,0.0,0.5893149277173484
