@relation autos_200_RQP_test_data
@attribute x0_lower real
@attribute x0_upper real
@attribute x1_lower real
@attribute x1_upper real
@attribute x2_lower real
@attribute x2_upper real
@attribute x3_lower real
@attribute x3_upper real
@attribute x4_lower real
@attribute x4_upper real
@attribute x5_lower real
@attribute x5_upper real
@attribute x6_lower real
@attribute x6_upper real
@attribute x7_lower real
@attribute x7_upper real
@attribute y_min real
@attribute y_max real
@data
0.2273310620001684,0.33666950480583546,0.4774110616090361,0.9327382128008584,0.12987662118143695,0.6580432156181415,0.5598570969800145,0.8594573435320823,1,1,0,0,0,0,1,1,0.9378023597044675,1.027075761211115
0.5792037077284099,0.901853751811577,0.6932794342770586,0.9378626789942119,0.435667506515527,0.5352901829955707,0.640720083658424,0.9199390616357949,1,1,0,0,1,1,0,0,0.9166587519219122,1.0378449903080962
0.277247657932734,0.5623107431813587,0.28529963339756426,0.6648513726910087,0.15329451940767624,0.5491577478545461,0.5142387547301112,0.7358163772679558,1,1,0,0,0,0,0,0,0.6438003779933487,0.9976443494572487
0.3391684587171019,0.6326823429591152,0.4089484709409493,0.6428320157181513,0.2018185214719702,0.3583568147268602,0.5914678501701265,0.6303607132040561,1,1,1,1,1,1,0,0,1.1667033364677755,1.2447430064997032
0.29395496557893297,0.5213895514773974,0.6755061773230115,0.9456269717152309,0.7784130447416671,0.9728150970805768,0.05265232102634543,0.5415707609530901,0,0,0,0,0,0,1,1,1.0004430088667187,1.0435785197179952
0.12304479927019141,0.1984110881255018,0.4369129309859381,0.5190305833184468,0.22908380532142314,0.8849733100179863,0.38924390378339324,0.44276808882983654,0,0,0,0,0,0,0,0,0.24056924065560167,0.8185960389370472
0.33759905578780214,0.997307703771697,0.07348546652529897,0.8768463404607848,0.3017344641400779,0.8676284064748656,0.09826526163972349,0.46670708436181063,1,1,1,1,0,0,1,1,1.091309211199421,1.272016306506497
0.18299434820653793,0.632799577121904,0.037798553867788964,0.5681558168457168,0.179570788170894,0.4393209892350012,0.34770766158194244,0.5163328907484778,1,1,0,0,0,0,0,0,0.6688568720590846,0.9757026390558681
0.2075989740752897,0.8636869425907444,0.22128649281989354,0.3581332705116428,0.3604956989152175,0.654992226196753,0.21431165986679324,0.23477018160719387,1,1,1,1,0,0,0,0,1.0726673899385166,1.1219540410298317
0.37263651927832975,0.4893235758730866,0.03535779678161366,0.608052488478215,0.8989165222382725,0.9521785737626369,0.04137614516209476,0.1842467043721706,0,0,0,0,1,1,1,1,1.1803723631148308,1.1994957823643533
0.08468291128009975,0.29911532049123934,0.008434859229285774,0.8416581960317941,0.18872718085272455,0.41190509477007275,0.18087882776805275,0.6319916291642831,0,0,1,1,1,1,1,1,1.2865204301399822,1.3071745007762772
0.08014592837701662,0.23696939312806586,0.3464551773183946,0.9828983871033614,0.21687320124355958,0.2829046167642708,0.2898963211471639,0.8484735801739405,0,0,0,0,0,0,0,0,0.20923877154512657,0.34342700326343356
0.07886419309835369,0.638370816509069,0.2966241327290646,0.30743612999279657,0.10986392507949316,0.36520921698474573,0.08298587975697269,0.7714056044324842,1,1,0,0,1,1,1,1,0.8635460493861751,0.959038029140958
0.82854400150014,0.9791475264422596,0.3211114475872797,0.5668700402890339,0.08395164167026581,0.6926210441781799,0.265166170296678,0.9547382565251384,1,1,0,0,0,0,0,0,0.49830723576175195,1.0097209113237624
0.21557734071290446,0.7262740519390727,0.5409731244535142,0.903024161763299,0.38893484219799523,0.5715539062672145,0.04059459334209514,0.699979918245571,0,0,0,0,0,0,0,0,0.2147402911174209,0.5342673574120916
0.3788753691364741,0.6832838418454104,0.3507952479588613,0.46850200562575195,0.41883087126778107,0.5916543299028726,0.24978287594804438,0.9961591216513752,0,0,0,0,1,1,0,0,0.6377137073411578,0.9144726038113354
0.07761303303038114,0.6753060997301193,0.03116008174976337,0.41754938849381806,0.2091549462615958,0.8652821154272141,0.639682063494827,0.754073786157782,0,0,1,1,1,1,0,0,1.1746327581191696,1.2430251844451137
0.6256671716777091,0.9190617757769116,0.3849911934599046,0.8411684223156629,0.3089915236873424,0.7028773052035459,0.42632630462435084,0.48886849235789565,1,1,0,0,1,1,0,0,0.7299259720677554,1.0460912111357938
0.2290750121269156,0.7179405795960122,0.42739401123344245,0.5751710934741484,0.300309475314412,0.36148272004880655,0.080546547675037,0.6525208224558817,1,1,1,1,0,0,0,0,1.0919100451478725,1.1226920571073449
0.1631619622657945,0.5615187120879533,0.009272411690362636,0.5143727935778533,0.5684950535363551,0.9671149422541333,0.04414060976914036,0.13218093602227088,1,1,1,1,0,0,0,0,1.063651287028979,1.1615874928664895
0.6281982578069023,0.9365156870278507,0.4341468493398625,0.9650428624595176,0.8529264288047383,0.9514361331929074,0.7969390795018505,0.9975652743531067,0,0,1,1,0,0,1,1,1.1963797167801857,1.2669577130248406
0.17984332420711835,0.7568848298934631,0.7804168191057134,0.8932346398724605,0.14680141789904233,0.7064367436620906,0.011808784024237351,0.557638572478774,1,1,0,0,1,1,1,1,1.0242101855468904,1.1245235028062104
0.514887237422058,0.528655962904511,0.11439685897001883,0.2755806140860535,0.13155174043533757,0.8974048014362117,0.4700892199970981,0.7722599995284166,0,0,0,0,0,0,1,1,0.5331813280482223,0.9962831124783695
