good,bad,predictions,truth
0.7,0.3,good,bad
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,bad
0.7,0.3,good,good
0.0,1.0,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.9,0.1,good,good
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,good
0.7872340425531915,0.2127659574468085,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.8333333333333334,0.16666666666666666,good,good
0.7142857142857143,0.2857142857142857,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.7872340425531915,0.2127659574468085,good,good
1.0,0.0,good,good
0.125,0.875,bad,bad
0.8814814814814815,0.11851851851851852,good,bad
0.125,0.875,bad,good
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,good
0.125,0.875,bad,bad
0.2,0.8,bad,good
0.8333333333333334,0.16666666666666666,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.16666666666666666,0.8333333333333334,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.0,1.0,bad,bad
0.08333333333333333,0.9166666666666666,bad,good
0.3333333333333333,0.6666666666666666,bad,bad
1.0,0.0,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8333333333333334,0.16666666666666666,good,bad
1.0,0.0,good,good
0.8,0.2,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.5,0.5,good,good
0.5,0.5,good,good
0.8814814814814815,0.11851851851851852,good,good
0.7142857142857143,0.2857142857142857,good,bad
0.8,0.2,good,good
0.08333333333333333,0.9166666666666666,bad,good
0.8814814814814815,0.11851851851851852,good,bad
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,bad
0.25,0.75,bad,good
0.5,0.5,good,bad
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.09090909090909091,0.9090909090909091,bad,good
0.8814814814814815,0.11851851851851852,good,good
0.125,0.875,bad,bad
0.0,1.0,bad,bad
0.8814814814814815,0.11851851851851852,good,bad
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,bad
0.0,1.0,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.7,0.3,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8333333333333334,0.16666666666666666,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.0,1.0,bad,good
0.0,1.0,bad,good
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,good
0.6470588235294118,0.35294117647058826,good,bad
0.7872340425531915,0.2127659574468085,good,bad
0.0,1.0,bad,bad
1.0,0.0,good,good
1.0,0.0,good,bad
0.7142857142857143,0.2857142857142857,good,good
0.8,0.2,good,bad
1.0,0.0,good,good
0.9,0.1,good,good
0.0,1.0,bad,good
1.0,0.0,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.7142857142857143,0.2857142857142857,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.0,1.0,bad,good
0.7872340425531915,0.2127659574468085,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.16666666666666666,0.8333333333333334,bad,bad
0.125,0.875,bad,bad
0.0,1.0,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.8,0.2,good,good
1.0,0.0,good,good
0.8814814814814815,0.11851851851851852,good,good
0.0,1.0,bad,good
0.125,0.875,bad,good
0.16666666666666666,0.8333333333333334,bad,good
0.0,1.0,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.8333333333333334,0.16666666666666666,good,good
0.08333333333333333,0.9166666666666666,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8,0.2,good,good
0.8333333333333334,0.16666666666666666,good,bad
0.3,0.7,bad,good
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,bad
0.0,1.0,bad,good
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,good
1.0,0.0,good,good
0.9090909090909091,0.09090909090909091,good,good
0.0,1.0,bad,bad
0.2,0.8,bad,good
0.16666666666666666,0.8333333333333334,bad,good
0.8814814814814815,0.11851851851851852,good,good
0.0,1.0,bad,bad
1.0,0.0,good,bad
0.08333333333333333,0.9166666666666666,bad,bad
0.8814814814814815,0.11851851851851852,good,bad
0.6666666666666666,0.3333333333333333,good,bad
0.7872340425531915,0.2127659574468085,good,good
0.9,0.1,good,good
0.8814814814814815,0.11851851851851852,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.7142857142857143,0.2857142857142857,good,good
0.0,1.0,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.16666666666666666,0.8333333333333334,bad,bad
0.7872340425531915,0.2127659574468085,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.0,1.0,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.7872340425531915,0.2127659574468085,good,good
0.125,0.875,bad,bad
1.0,0.0,good,good
1.0,0.0,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.3333333333333333,0.6666666666666666,bad,good
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,bad
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,bad
0.08333333333333333,0.9166666666666666,bad,bad
0.8814814814814815,0.11851851851851852,good,bad
1.0,0.0,good,bad
0.0,1.0,bad,bad
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,bad
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,good
0.7,0.3,good,good
1.0,0.0,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.125,0.875,bad,good
0.8,0.2,good,good
0.0,1.0,bad,good
0.3333333333333333,0.6666666666666666,bad,bad
0.8814814814814815,0.11851851851851852,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,bad
0.0,1.0,bad,good
0.7142857142857143,0.2857142857142857,good,bad
0.6666666666666666,0.3333333333333333,good,bad
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,good
0.08333333333333333,0.9166666666666666,bad,bad
0.8814814814814815,0.11851851851851852,good,good
0.7872340425531915,0.2127659574468085,good,good
0.7872340425531915,0.2127659574468085,good,good
0.8814814814814815,0.11851851851851852,good,good
0.8333333333333334,0.16666666666666666,good,bad
0.8814814814814815,0.11851851851851852,good,good
0.8814814814814815,0.11851851851851852,good,good
0.125,0.875,bad,good
0.7872340425531915,0.2127659574468085,good,good
0.8814814814814815,0.11851851851851852,good,good
0.125,0.875,bad,good
0.8814814814814815,0.11851851851851852,good,good
1.0,0.0,good,good
0.8814814814814815,0.11851851851851852,good,good
0.7872340425531915,0.2127659574468085,good,good
1.0,0.0,good,good
0.8333333333333334,0.16666666666666666,good,good
1.0,0.0,good,good
0.7,0.3,good,good
0.8814814814814815,0.11851851851851852,good,good
0.5,0.5,good,bad
