predictions,truth
27.118977182732998,27.0
18.09558074460762,19.0
46.380857627666444,46.0
143.91316666666668,144.0
75.9447380952381,73.0
19.789732615609935,20.0
18.562518350113937,19.0
88.84346428571429,92.0
91.93252380952381,93.0
27.08210206460207,29.0
72.27026334776333,71.0
141.023746031746,146.0
21.972349007025773,23.0
51.74553804528805,52.0
135.73433333333332,142.0
17.74662134289822,17.0
157.68640079365082,158.0
16.064306736950694,17.0
27.49210006660007,27.0
15.857820663263464,17.0
31.857950105450115,33.0
15.543544987643358,14.0
22.0989142138989,22.0
35.70886166611169,35.0
16.159612714888276,15.0
44.231865537240544,45.0
36.94743309468311,36.0
25.52533488311019,26.0
13.751896095728602,13.0
138.3510252525252,140.0
12.923977251629804,12.0
26.77479356770045,28.0
14.66586329684883,14.0
48.290600649350665,46.0
35.95563034188034,38.0
10.625619561838578,11.0
30.785188200688204,26.0
88.74949999999998,100.0
13.050189360519704,12.0
130.99266666666665,114.0
11.166033777963637,11.0
15.03100631952439,10.0
205.31573809523806,215.0
80.33397222222223,99.0
7.4446972720331495,8.0
20.697757575757578,9.0
54.31766666666667,35.0
158.97033333333331,215.0
35.264187478500176,46.0
19.929105194805196,11.0
55.749833333333335,125.0
46.66833787878788,55.0
32.249131529581526,30.0
73.88930158730159,75.0
53.04073809523809,48.0
78.79873901098901,78.0
35.08354494688318,34.0
33.15090751865093,32.0
34.28798767082591,33.0
82.0707628205128,83.0
74.21342320620556,74.0
45.346015040515056,44.0
32.33485898905017,33.0
49.755285682454804,50.0
85.39869139194136,85.0
42.83588185425683,43.0
31.05043530162649,31.0
31.498653555594732,30.0
77.2252797757798,76.0
47.62586446804829,47.0
114.46067640692641,114.0
28.178797161988328,28.0
47.15976273644657,45.0
44.205492784992785,42.0
76.23649603174601,84.0
27.396961907975072,26.0
37.23276101676103,36.0
124.4627619047619,123.0
23.44003189062399,23.0
21.961599564337266,22.0
123.82916666666668,121.0
57.22450396825397,57.0
25.071348457098455,25.0
41.81630695611579,43.0
139.65830952380952,135.0
20.25759391915274,22.0
91.14952380952381,91.0
21.60936866256578,21.0
21.919267779606006,19.0
109.5900079365079,107.0
24.98504845154845,26.0
126.07505555555555,125.0
148.8444166666667,140.0
17.77001217428905,18.0
114.0582698412698,112.0
45.5471262903763,43.0
21.502434260953127,20.0
17.26849888222373,16.0
16.72380088129703,16.0
32.09484734220028,30.0
74.2689126984127,75.0
19.986791541634037,18.0
48.023355505605515,51.0
15.001332806913931,15.0
16.203728782921583,17.0
92.87683333333334,89.0
32.977306549659495,30.0
17.0130365175928,16.0
60.696428571428584,62.0
14.858425138538221,13.0
110.58163492063491,113.0
37.23109976134978,38.0
64.45783333333334,65.0
34.21161166611168,33.0
11.726407844356435,11.0
19.44284194387484,17.0
146.68929365079364,156.0
19.50144884004847,17.0
180.4445119047619,189.0
115.61916666666666,115.0
31.17653821677119,32.0
10.649586136930152,9.0
11.640601048927968,10.0
130.54766666666666,134.0
190.60242857142856,192.0
8.076345637016752,8.0
38.223702380952375,37.0
151.84199999999998,148.0
18.964419153945467,15.0
9.163729297373713,8.0
8.845744257186105,7.0
221.77783333333338,237.0
68.23227380952382,233.0
11.002144633542532,7.0
